Song,Artist,Valence,Energy
"Highway to Hell","AC/DC",0.456,0.913
"Hotel California","Eagles",0.623,0.508
"Stairway To Heaven","Led Zeppelin",0.205,0.34
"My Generation","The Who",0.711,0.796
"All Along the Watchtower","Jimi Hendrix",0.565,0.805
"Rock And Roll All Nite","KISS",0.897,0.932
"Smells Like Teen Spirit","Nirvana",0.725,0.906
"Purple Rain (Prince) (Acoustic)","Arjun Kaul",0.312,0.34
"Jailhouse Rock","Elvis Presley",0.916,0.582
"Beast Of Burden - Remastered","The Rolling Stones",0.831,0.877
"Billie Jean - Single Version","Michael Jackson",0.856,0.654
"Yeah!","Usher",0.594,0.791
"Hollaback Girl","Gwen Stefani",0.909,0.918
"Like A Prayer","Madonna",0.272,0.842
"...Baby One More Time","Britney Spears",0.901,0.699
"It's Gonna Be Me","*NSYNC",0.913,0.873
"Everybody (Backstreet's Back) - Extended Version","Backstreet Boys",0.515,0.811
"Journer Closer : Don't Stop Believing, Be good to yourself","Journey",0.225,0.733
"Genie in a Bottle","Christina Aguilera",0.917,0.792
"Call Me Maybe","Carly Rae Jepsen",0.59,0.599
"Iron Man - Remastered Version","Black Sabbath",0.43,0.792
"Enter Sandman","Metallica",0.64,0.824
"Welcome To The Jungle","Guns N' Roses",0.342,0.955
"Angel Of Death","Slayer",0.0935,0.994
"No One Like You","Scorpions",0.827,0.631
"Mind Over Metal","Raven",0.224,0.965
"Under The Blade","Twisted Sister",0.466,0.658
"You've Got Another Thing Comin'","Judas Priest",0.527,0.833
"At War With Satan","Venom",0.0783,0.978
"The Number Of The Beast - 1998 Remastered Version","Iron Maiden",0.363,0.921
Thrift Shop - feat. Wanz","Macklemore & Ryan Lewis",0.661,0.526
"Hot Boyz","Missy Elliott",0.561,0.439
"Big Poppa","The Notorious B.I.G.",0.763,0.578
"California Love - Original Mix (Explicit)","2Pac",0.758,0.832
"Drop It Like It's Hot","Snoop Dogg",0.645,0.622
"Holy Grail","JAY Z",0.15,0.539
"Live Your Life - feat. Rihanna","T.I.",0.472,0.862
"I like Dem Girlz","Lil Jon",0.724,0.5
"In Da Club","50 Cent",0.817,0.73
"Lose Yourself - Soundtrack Version","Eminem",0.0672,0.732
"Burnin' It Down","Jason Aldean",0.614,0.795
"Drink In My Hand","Eric Church",0.952,0.913
"Play It Again","Luke Bryan",0.595,0.898
"Daddy Sang Bass","Johnny Cash",0.678,0.638
"Live Like You Were Dying","Tim McGraw",0.411,0.546
"Long Stretch Of Love","Lady Antebellum",0.509,0.935
"What Hurts The Most","Rascal Flatts",0.328,0.671
"Toes","Zac Brown Band",0.831,0.759
"Cruise","Florida Georgia Line",0.869,0.945
"Amazed","Lonestar",0.272,0.541
"Take Five","Dave Brubeck",0.617,0.219
"Whiplash","Don Ellis Band",0.755,0.716
"Upswingin'","Tim Simonec",0.623,0.645
"My Favorite Things","John Coltrane",0.23,0.214
"So What","Miles Davis",0.216,0.151
"St. Thomas","Sonny Rollins",0.689,0.319
"Straight, No Chaser","Thelonious Monk",0.618,0.35
"Django","The Modern Jazz Quartet",0.418,0.206
"Struttin' With Some Barbeque - Single Version","Louis Armstrong",0.913,0.514
"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio","Ludwig van Beethoven",0.183,0.249
"1812 Overture, Op. 49","Pyotr Ilyich Tchaikovsky",0.0948,0.15
"Toccata and Fugue in D Minor BWV. 565: Toccata","Johann Sebastian Bach",0.0612,0.179
"William Tell Overture","Gioachino Rossini",0.634,0.682
"Canon in D Major","Johann Pachelbel",0.228,0.125
"The Blue Danube","Johann Strauss II",0.159,0.0629
"Can-Can From Orpheus In The Underworld","Jacques Offenbach",0.812,0.59
"Messiah","George Frideric Handel",0.343,0.225
"(Sittin' On) The Dock Of The Bay","Otis Redding",0.513,0.28
"Stand By Me","Ben E. King",0.607,0.306
"A Change Is Gonna Come","Sam Cooke",0.483,0.442
"At Last - Single Version","Etta James",0.318,0.33
"Let's Stay Together","Al Green",0.509,0.273
"Papa's Got A Brand New Bag","James Brown",0.904,0.702
"Georgia On My Mind","Ray Charles",0.239,0.266
"Let's Get It On","Marvin Gaye",0.602,0.62
"Respect","Aretha Franklin",0.964,0.558
"Signed, Sealed, Delivered (I'm Yours)","Stevie Wonder",0.878,0.595
"Wonderwall - Remastered","Oasis",0.477,0.865
"Holiday/Boulevard Of Broken Dreams","Green Day",0.455,0.827
"Numb","Linkin Park",0.244,0.863
"Seven Nation Army","The White Stripes",0.317,0.462
"Dani California","Red Hot Chili Peppers",0.725,0.865
"Heavydirtysoul","Twenty One Pilots",0.394,0.873
"Semi-Charmed Life","Third Eye Blind",0.735,0.864
"Bitter Sweet Symphony","The Verve",0.516,0.889
"Island In The Sun","Weezer",0.784,0.778
"Doin' Time","Sublime",0.498,0.717
"Ghosts 'n' Stuff","deadmau5",0.454,0.613
"Call On Me - Radio Edit","Eric Prydz",0.471,0.847
"Around The World","Daft Punk",0.84,0.795
"Scream & Shout","will.i.am",0.482,0.687
"Don't You Worry Child (Radio Edit) [feat. John Martin]","Swedish House Mafia",0.441,0.84
"Under Control","Calvin Harris",0.521,0.915
"Titanium (feat. Sia)","David Guetta",0.254,0.803
"Let The Music Play","Shannon",0.898,0.872
"Everytime We Touch","Cascada",0.485,0.974
"Levels - Radio Edit","Avicii",0.47,0.873
"Undefined","William Ryan Fritch",0.158,0.507
